NB_time,NB_data link,EB_time,EB_data link,RB_time,RB_data link
05:00,null,02:55,null,null,null
05:00,null,01:14,null,null,151640
05:00,115708,01:37,121129,01:45,121401
05:00,150015,01:11,150312,00:40,150438
05:00,151248,00:50,151424,01:36,151604
05:00,152238,01:03,152518,01:40,152705
05:00,153254,01:05,153432,01:36,153608
05:00,154152,01:04,154319,01:04,154441
05:00,155054,01:01,155233,01:32,155417
05:00,160019,00:58,160143,01:27,160318
05:00,161519,01:43,162111,02:06,162355
05:00,155929,02:18,160600,02:54,160924
05:00,143047,01:00,143306,01:02,143443
05:00,144400,01:18,144544,01:02,144703
05:00,145203,01:00,145321,01:15,145450
05:00,145819,01:15,150122,01:36,150323
05:00,151903,01:00,152027,01:19,152153
05:00,152805,01:00,152915,01:09,153024
05:00,153650,00:47,153812,00:56,153920
05:00,154450,01:06,154626,01:02,154744
05:00,155405,00:55,155519,01:00,155636
05:00,160154,00:45,160257,00:57,160413
05:00,145948,,,,
